434.8			241.5		1		235		247
1018.16		294.85	1.15		291		298
1535.7		351.71	1.25		345.85	356.93
1103.6		609.6		1.5		603		615
111 			768.8 	0.7 		760		 775
64 			785.5		 0.4 		775 		 795
37 			933.8 	0.4 		928 		 943
223			1120		1.5		1112 		1131
114.8 		1238.4 	1.20 		1230 		1245
34 			1377 		1.25 		1369.5 	1382.7
36 			1508.5 	1.20 		1500 		1520
11 			1661.5 	0.4 		1650 		1670
61 			1729.6 	1.5		 1720 	1740
240.2 		1765 		1.25 		1755 		1770
17 			1847 		0.5 		1835 		1858
12			2119.2      1.43  	 2110.00   2125.00
25 			2203.6	 1 		2191 		2213
51.39  		2447.58      1.31   	2440.00   2460.00
